99,-85.86, 1.000,  100.000
199,-88.89, 1.000,  100.000
299,-87.21, 1.000,  100.000
399,-83.84, 1.000,  100.000
499,-88.55, 1.000,  100.000
599,-82.83, 1.000,  100.000
699,-86.53, 1.000,  100.000
799,-85.19, 1.000,  100.000
899,-83.17, 1.000,  100.000
999,-85.52, 1.000,  100.000
1099,-86.53, 1.000,  100.000
1199,-89.23, 1.000,  100.000
1299,-87.54, 1.000,  100.000
1399,-89.56, 1.000,  100.000
1499,-89.90, 1.000,  100.000
1599,-88.22, 1.000,  100.000
1699,-89.56, 1.000,  100.000
1799,-88.55, 1.000,  100.000
1899,-90.57, 1.000,  100.000
1999,-87.21, 1.000,  100.000
2099,-87.21, 1.000,  100.000
2199,-90.57, 1.000,  100.000
2299,-86.20, 1.000,  100.000
2399,-83.84, 1.000,  100.000
2499,-88.89, 1.000,  100.000
2599,-85.52, 1.000,  100.000
2699,-91.25, 1.000,  100.000
2799,-89.90, 1.000,  100.000
2899,-87.21, 1.000,  100.000
2999,-89.23, 1.000,  100.000
3099,-83.17, 1.000,  100.000
3199,-88.89, 1.000,  100.000
3299,-90.24, 1.000,  100.000
3399,-91.25, 1.000,  100.000
3499,-87.54, 1.000,  100.000
3599,-86.53, 1.000,  100.000
3699,-90.24, 1.000,  100.000
3799,-88.22, 1.000,  100.000
3899,-82.16, 1.000,  100.000
3999,-88.55, 1.000,  100.000
4099,-84.51, 1.000,  100.000
4199,-87.21, 1.000,  100.000
4299,-88.22, 1.000,  100.000
4399,-86.87, 1.000,  100.000
4499,-90.91, 1.000,  100.000
4599,-87.21, 1.000,  100.000
4699,-91.25, 1.000,  100.000
4799,-85.86, 1.000,  100.000
4899,-85.52, 1.000,  100.000
4999,-86.53, 1.000,  100.000
